id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
017945;Perfect Boost;Makijaż;Perfect Boost;;;;;;;;;;;https://www.labiosthetique.pl/perfect-boost;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;;https://www.labiosthetique.pl/perfect-boost;;;;;;;;;;;;;;;;Baza do rzęs zwiększająca objętośćs;;;;;;;;;;;;;;;;;;;
016301;Eyeshadow Pen Cloudy Lilac;Makijaż;Eyeshadow Pen Cloudy Lilac;;;;;;;;;;;https://www.labiosthetique.pl/eyeshadow-pen?childSku=4040218829099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;;https://www.labiosthetique.pl/eyeshadow-pen?childSku=4040218829099;;;;;;;;;;;;;;;;Praktyczny cień do powiek w kredce: szybko i łatwo tworzy doskonały, przydymiony oraz wodoodporny makijaż oczu;;;;;;;;;;;;;;;;;;;
002396;Sun Care Body Lotion SPF 50;Pielęgnacja twarzy & ciała;Sun Care Body Lotion SPF 50;;;;;;;;;;;https://www.labiosthetique.pl/sun-care-body-lotion-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;;https://www.labiosthetique.pl/sun-care-body-lotion-spf-50;;;;;;;;;;;;;;;;Emulsja do opalania SPF 50;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;Pielęgnacja włosów;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.pl/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.pl/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Szampon Wellness do codziennego mycia włosów.;;;;;;;;;;;;;;;;;;;
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Pielęgnacja włosów;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;;;;;;;;;;;https://www.labiosthetique.pl/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;;https://www.labiosthetique.pl/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;;;;;;;;;;;;Odżywka neutralizująca żółty odcień;;;;;;;;;;;;;;;;;;;
017339;Automatic Pencil for Eyes K05 Black;Makijaż;Automatic Pencil for Eyes K05 Black;;;;;;;;;;;https://www.labiosthetique.pl/automatic-pencil-for-eyes?childSku=4040218765298;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;;https://www.labiosthetique.pl/automatic-pencil-for-eyes?childSku=4040218765298;;;;;;;;;;;;;;;;Automatyczna wodoodporna kredka do oczu K05 Black;;;;;;;;;;;;;;;;;;;
017524;Pencil for Eyes Violet Silk;Makijaż;Pencil for Eyes Violet Silk;;;;;;;;;;;https://www.labiosthetique.pl/pencil-for-eyes?childSku=4040218875898;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;;https://www.labiosthetique.pl/pencil-for-eyes?childSku=4040218875898;;;;;;;;;;;;;;;;Automatyczna wodoodporna kredka do oczu;;;;;;;;;;;;;;;;;;;
002142;Harmonising Wellness Tea Beutel;Pielęgnacja twarzy & ciała;Harmonising Wellness Tea Beutel;;;;;;;;;;;https://www.labiosthetique.pl/harmonising-wellness-tea?childSku=4040218879698;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg;;https://www.labiosthetique.pl/harmonising-wellness-tea?childSku=4040218879698;;;;;;;;;;;;;;;;Harmonizująca herbata wellness.;;;;;;;;;;;;;;;;;;;
003939;Homme Hair Beard Body Wash;Pielęgnacja włosów,Pielęgnacja twarzy & ciała;Homme Hair Beard Body Wash;;;;;;;;;;;https://www.labiosthetique.pl/hair-beard-body-wash?childSku=4040218802597;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;;https://www.labiosthetique.pl/hair-beard-body-wash?childSku=4040218802597;;;;;;;;;;;;;;;;Orzeźwiający żel pod prysznic do ciała, włosów i brody Hair Beard Body Wash Mini;;;;;;;;;;;;;;;;;;;
120931;Hairloss Control Scalp Concentrate;Pielęgnacja włosów;Hairloss Control Scalp Concentrate;;;;;;;;;;;https://www.labiosthetique.pl/hairloss-control-scalp-concentrate;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;;https://www.labiosthetique.pl/hairloss-control-scalp-concentrate;;;;;;;;;;;;;;;;Pożegnanie z wypadaniem włosów!;;;;;;;;;;;;;;;;;;;
021278;Liquid Glam;Makijaż;Liquid Glam;;;;;;;;;;;https://www.labiosthetique.pl/liquid-glam;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;;https://www.labiosthetique.pl/liquid-glam;;;;;;;;;;;;;;;;Przezroczysty żel z brokatem do całego ciała;;;;;;;;;;;;;;;;;;;
002195;La Capsule;Pielęgnacja twarzy & ciała;La Capsule;;;;;;;;;;;https://www.labiosthetique.pl/la-capsule?childSku=4040218002195;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/a/la_capsule_248015_63Kapseln_5cac777.jpg/la_capsule_248015_63Kapseln_5cac777.jpg;;https://www.labiosthetique.pl/la-capsule?childSku=4040218002195;;;;;;;;;;;;;;;;Regenerujące serum przeciw starzeniu z lipidami, regulujące i stabilizujące równowagę naskórka.;;;;;;;;;;;;;;;;;;;
120295;Shampooing Lipokérine A;Pielęgnacja włosów;Shampooing Lipokérine A;;;;;;;;;;;https://www.labiosthetique.pl/shampooing-lipokerine-a;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg;;https://www.labiosthetique.pl/shampooing-lipokerine-a;;;;;;;;;;;;;;;;Szampon do tłustej skóry głowy Shampooing Lipokérine A;;;;;;;;;;;;;;;;;;;
002628;Sun Care Stick SPF 50+;Pielęgnacja twarzy & ciała;Sun Care Stick SPF 50+;;;;;;;;;;;https://www.labiosthetique.pl/sun-care-stick-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg;;https://www.labiosthetique.pl/sun-care-stick-spf-50;;;;;;;;;;;;;;;;Cremestick mit UVA und UVB Filter;;;;;;;;;;;;;;;;;;;
123212;Colour Protection Structure Restoring Treatment;Pielęgnacja włosów;Colour Protection Structure Restoring Treatment;;;;;;;;;;;https://www.labiosthetique.pl/colour-protection-structure-restoring-treatment;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;;https://www.labiosthetique.pl/colour-protection-structure-restoring-treatment;;;;;;;;;;;;;;;;Restrukturyzująca intensywna kuracja do włosów;;;;;;;;;;;;;;;;;;;
002241;After Sun Soothing Hydro Spray;Pielęgnacja twarzy & ciała;After Sun Soothing Hydro Spray;;;;;;;;;;;https://www.labiosthetique.pl/after-sun-soothing-hydro-spray;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg;;https://www.labiosthetique.pl/after-sun-soothing-hydro-spray;;;;;;;;;;;;;;;;Natychmiast łagodzi i relaksuje skórę poddawaną słońcu oraz dostarcza jej cenne nawilżenie.;;;;;;;;;;;;;;;;;;;
