id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
017945;Perfect Boost;Make-up;Perfect Boost;;;;;;;;;;;https://www.labiosthetique.co.uk/perfect-boost;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;;https://www.labiosthetique.co.uk/perfect-boost;;;;;;;;;;;;;;;;Mascara base for conditioned and long, full lashes;;;;;;;;;;;;;;;;;;;
016399;Eyeshadow Pen Smoky Topaz;Make-up;Eyeshadow Pen Smoky Topaz;;;;;;;;;;;https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218791099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;;https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218791099;;;;;;;;;;;;;;;;Practical eyeshadow pen: Rapidly and easily creates a perfect, smudge and waterproof eye make-up look;;;;;;;;;;;;;;;;;;;
002396;Sun Care Body Lotion SPF 50;Skin care;Sun Care Body Lotion SPF 50;;;;;;;;;;;https://www.labiosthetique.co.uk/sun-care-body-lotion-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;;https://www.labiosthetique.co.uk/sun-care-body-lotion-spf-50;;;;;;;;;;;;;;;;Sun lotion SPF 50;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;Hair & scalp care;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.co.uk/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.co.uk/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Wellness shampoo for daily hair-washing.;;;;;;;;;;;;;;;;;;;
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Hair & scalp care;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;;;;;;;;;;;https://www.labiosthetique.co.uk/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;;https://www.labiosthetique.co.uk/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;;;;;;;;;;;;Express care and color refresher for cool, blonde and bleached hair;;;;;;;;;;;;;;;;;;;
017339;Automatic Pencil for Eyes K05 Black;Make-up;Automatic Pencil for Eyes K05 Black;;;;;;;;;;;https://www.labiosthetique.co.uk/automatic-pencil-for-eyes?childSku=4040218765298;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;;https://www.labiosthetique.co.uk/automatic-pencil-for-eyes?childSku=4040218765298;;;;;;;;;;;;;;;;Waterproof eyeliner for long-lasting, unforgettable eye make-up;;;;;;;;;;;;;;;;;;;
020607;Brilliant Nail Top Coat;Make-up;Brilliant Nail Top Coat;;;;;;;;;;;https://www.labiosthetique.co.uk/brilliant-nail-top-coat;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;;https://www.labiosthetique.co.uk/brilliant-nail-top-coat;;;;;;;;;;;;;;;;Sealing transparent polish in high-gloss look: Can be applied over and instead of a coloured polish to protect the nails;;;;;;;;;;;;;;;;;;;
003794;Visalix Clarifiant;Skin care;Visalix Clarifiant;;;;;;;;;;;https://www.labiosthetique.co.uk/visalix-clarifiant;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg;;https://www.labiosthetique.co.uk/visalix-clarifiant;;;;;;;;;;;;;;;;Skin-clarifying facial lotion for fortify blemished skin, with an astringent effect to supply;;;;;;;;;;;;;;;;;;;
017524;Pencil for Eyes Violet Silk;Make-up;Pencil for Eyes Violet Silk;;;;;;;;;;;https://www.labiosthetique.co.uk/pencil-for-eyes?childSku=4040218875898;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;;https://www.labiosthetique.co.uk/pencil-for-eyes?childSku=4040218875898;;;;;;;;;;;;;;;;Soft eye pencil for natural looking eyes – every day;;;;;;;;;;;;;;;;;;;
003939;Homme Hair Beard Body Wash;Hair & scalp care,Skin care;Homme Hair Beard Body Wash;;;;;;;;;;;https://www.labiosthetique.co.uk/hair-beard-body-wash?childSku=4040218802597;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;;https://www.labiosthetique.co.uk/hair-beard-body-wash?childSku=4040218802597;;;;;;;;;;;;;;;;For skin, hair and beard: Energising shower gel that gently cleanses and contains an extra portion of moisture to protect against dehydration of skin and hair.;;;;;;;;;;;;;;;;;;;
120931;Hairloss Control Scalp Concentrate;Hair & scalp care;Hairloss Control Scalp Concentrate;;;;;;;;;;;https://www.labiosthetique.co.uk/hairloss-control-scalp-concentrate;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;;https://www.labiosthetique.co.uk/hairloss-control-scalp-concentrate;;;;;;;;;;;;;;;;Scalp concentrate against hair loss;;;;;;;;;;;;;;;;;;;
